,height_white,height_black,times
1,7,2,319847
2,3,2,159915
3,0,2,40127
4,19,2,800091
5,15,2,639736
6,11,2,480310
7,7,2,319841
8,3,2,159912
9,0,2,40109
10,19,2,800118
11,15,2,639673
12,11,2,479877
13,7,2,320395
14,3,2,159954
15,0,2,40080
16,19,2,799576
17,15,2,640319
18,11,2,479778
19,7,2,319869
20,3,2,159957
21,0,2,40142
22,19,2,844087
23,15,2,639675
24,11,2,480336
25,7,2,319912
26,3,2,159884
27,0,2,40102
28,19,2,799708
29,15,2,640227
30,11,2,479783
31,7,2,320386
32,3,2,160025
33,0,2,40108
34,19,2,799970
35,15,2,640244
36,11,2,479728
37,7,2,320425
38,3,2,159925
39,0,2,39627
40,19,2,800192
41,15,2,640204
42,11,2,479769
43,7,2,319806
44,3,2,159999
45,0,2,40040
46,19,2,800216
47,15,2,639766
48,11,2,479815
49,7,2,320381
50,3,2,159929
51,0,2,40096
52,19,2,799819
53,15,2,643950
54,11,2,479780
55,7,2,320363
56,3,2,160002
57,0,2,39630
58,19,2,800156
59,15,2,640216
60,11,2,479894
61,7,2,319897
62,3,2,159969
63,0,2,40109
64,19,2,799767
65,15,2,640372
66,11,2,479533
67,7,2,319905
68,3,2,159924
69,0,2,40128
70,19,2,800151
71,15,2,639776
72,11,2,479804
